race_id,kaisai_date,field_size,gap_top2,spread,gap_boundary_5,gap_boundary_4,gap_boundary_3,gap_boundary_2,gap_boundary_1,selected_5,gap_pct_5,ladder_conf_5_pct,ladder_conf_5_show_pct,ladder_conf_4_pct,ladder_conf_4_show_pct,ladder_conf_3_pct,ladder_conf_3_show_pct,ladder_conf_2_pct,ladder_conf_2_show_pct,ladder_conf_1_pct,ladder_conf_1_show_pct
202654072501,20260725,9,0.219211410079355,0.3635002249485768,0.10000059956858759,0.07086150622083431,0.015662497609259893,0.05188234410681966,0.219211410079355,True,0.10000059956858759,79.620945262292,False,70.2840237525053,True,56.36368197958321,False,42.83871295785727,True,30.68759562831069,False
202654072502,20260725,11,0.12044913268423905,0.4933635713265357,0.049965121198318176,0.051536223444054716,0.052004207320784424,0.17809109109133717,0.12044913268423905,False,0.049965121198318176,78.869378949468,False,69.42524070226119,True,57.793163062935015,False,49.26692678212787,True,28.097436206955162,False
202654072503,20260725,11,0.21673276710094816,0.5101632364393074,0.1583870180406024,0.052912706412554765,0.03323415921634922,0.031194578641263213,0.21673276710094816,True,0.1583870180406024,80.47257506038945,False,69.48686755052637,True,57.05632672233188,False,41.80199148901409,True,30.620978558773043,False
202654072504,20260725,10,0.250798932821946,0.4194045028220161,0.0111934809057621,0.20579180774455405,0.08358726170904078,0.21022675679141017,0.250798932821946,True,0.0111934809057621,78.2731855350939,False,75.87092646890281,True,59.02503567762304,False,50.91615434454601,True,31.543558019155892,False
202654072505,20260725,12,0.10768023609852616,0.4064643200521567,0.01974542552698168,0.02509543179951276,0.11021643093006023,0.005229541696702566,0.10768023609852616,False,0.01974542552698168,78.40572619942728,False,68.22811940692426,True,60.05502318518744,False,40.511093276983566,True,27.772436526398476,False
202654072506,20260725,12,0.2372065585376543,0.535029280907765,0.012696130807823064,0.015433529732434692,0.13042938871779663,0.15364509412755156,0.2372065585376543,True,0.012696130807823064,78.2965165564108,False,67.78447499147352,True,60.830995977576464,False,48.013215195579065,True,31.173648760495702,False
202654072507,20260725,12,0.3424970372946064,0.5600622676639431,0.1204112550438559,0.12379528961272812,0.035115661394998866,0.09647145119140485,0.3424970372946064,True,0.1204112550438559,79.92176040491248,False,72.5631644669313,True,57.13033373971054,False,45.09353675052577,True,34.098866366395,False
202654072508,20260725,11,0.009160213387534458,0.32794839131313885,0.038691073953657666,0.014688731719308472,0.03489097076892611,0.16372666689573337,0.009160213387534458,False,0.038691073953657666,78.6972614320558,False,67.75014139745039,True,57.121497427229365,False,48.530035140069835,True,25.344174915071534,False
202654072509,20260725,11,0.12988448803760605,0.3906238455423884,0.010551442657344727,0.02314171101737914,0.1275375091673019,0.030109426642696186,0.12988448803760605,False,0.010551442657344727,78.26321135059369,False,68.13867386377164,True,60.720302143709006,False,41.74780259459689,True,28.339071983892023,False
202654072510,20260725,11,0.053471980924628945,0.3264124652984041,0.11886211551686567,0.006672070717098923,0.0842295600800772,0.028985273578131233,0.053471980924628945,False,0.11886211551686567,79.8990460465155,False,67.37938275067576,True,59.049976414656015,False,41.69168712575221,True,26.418776535767496,False
